Soil_pH,N,P,K,Temperature,Rainfall,Crop,Recommended_Fertilizer
6.57,128,59,27,26.49,450.16,1,MOP
6.81,104,40,58,16.28,656.22,2,NPK
8.36,153,55,11,16.95,1968.78,4,MOP
4.71,135,40,46,38,1976.12,0,Compost
4.87,133,72,92,29.68,2620.84,1,Compost
5.75,136,51,97,19.25,2946.6,5,NPK
4.79,155,66,90,38.18,2505.13,6,Compost
7.5,60,45,65,11.29,287.83,4,NPK
5.92,70,76,18,36.1,648.69,2,MOP
6.65,141,53,60,32.08,765.95,4,NPK
7.86,98,77,17,38.06,418.05,2,MOP
4.63,121,85,80,17.33,1505.33,1,Compost
4.79,113,60,14,21.22,1248.69,5,MOP
8.44,150,74,32,36.78,678.49,2,MOP
8.11,126,62,28,30.92,2023.48,4,MOP
5.06,153,43,116,12.96,970.62,5,Compost
7.16,68,53,30,18.81,2474.22,4,MOP
5.19,129,80,37,18.44,1193.67,6,MOP
7.47,131,85,110,28.28,1645.2,6,NPK
6.2,73,53,117,22.43,1377.05,6,NPK
8.07,88,53,36,26.55,357.14,5,MOP
5.29,115,56,88,32.57,856.72,4,Compost
6.96,107,52,12,26.4,588.52,2,MOP
6.07,70,51,104,31.86,913.03,6,NPK
5.63,65,47,33,17.56,571.36,0,MOP
4.91,124,81,112,36.46,2101.48,0,Compost
7.34,139,40,56,35.12,2210.28,1,NPK
5.84,134,68,46,23.08,1776.14,2,MOP
8.09,111,78,39,12.66,688.57,1,MOP
4.62,73,60,85,18.69,2457.01,5,Compost
6.7,136,41,78,38.65,455.78,4,NPK
6.22,121,67,71,18.79,1794.28,6,MOP
7.11,120,47,34,16.76,2325.75,5,MOP
7.41,70,88,21,35.07,1479.26,5,MOP
4.5,73,66,18,29.54,1359.93,2,MOP
5.16,109,80,46,22.29,2722.84,4,Compost
5.43,132,68,18,35.6,2258.56,0,MOP
4.65,109,76,64,38.32,471.64,6,Compost
4.96,79,67,104,27.61,1150.9,4,Compost
5.39,79,56,90,35.9,1222.94,2,Compost
4.73,99,74,84,36,2183.48,0,Compost
6.77,91,69,69,22.38,950.29,6,NPK
6.15,134,45,74,31.23,909.13,1,NPK
7.41,100,89,17,28.29,916,4,MOP
6.15,99,51,113,24.49,1360.56,2,NPK
5.13,67,55,51,19.6,2614.22,6,Compost
6.03,72,70,29,34.4,1644.73,3,MOP
4.77,122,79,119,28.77,2446.12,4,Compost
7.78,121,74,10,27.75,1732.92,6,MOP
6.48,64,76,32,36.85,2057.38,1,MOP
7.66,130,63,57,25.05,1633.93,3,NPK
5.43,76,63,71,12.58,2926.29,5,Compost
5.29,158,89,50,26.43,1904.5,6,Compost
7.01,114,86,107,34.68,460.45,2,NPK
6.64,140,58,28,12.23,516.94,2,MOP
7.12,82,43,71,35.18,1631.74,1,NPK
7.09,74,41,70,13.4,2210.15,6,NPK
4.68,76,89,40,10.15,596.88,4,Compost
4.92,138,78,29,15.37,2503.69,2,MOP
7.71,109,59,22,21.24,1518.56,4,MOP
6.27,113,76,29,16.32,995.54,4,MOP
6.46,108,85,116,12.82,681.22,0,NPK
5.38,73,76,85,25.34,2215.04,1,Compost
5.58,131,80,33,29.97,1590,5,MOP
4.68,69,77,78,25.72,2553.77,0,Compost
5.02,154,79,63,21.63,2970.19,2,Compost
6.15,153,76,20,35.74,1495.48,4,MOP
4.51,71,42,49,19.22,1134.7,3,Compost
5.48,100,89,64,35.97,537.76,4,Compost
7.22,152,84,56,29.18,1636.55,0,NPK
7.35,72,55,43,19.55,1396.63,1,MOP
5.18,111,79,106,15.74,2688.41,1,Compost
7.79,98,74,67,24.48,2197.03,6,Compost
7.58,155,55,102,39.34,674.32,5,NPK
6.84,99,48,57,13.83,1995.67,1,NPK
6.4,77,54,45,25.27,468.21,2,NPK
6.03,155,47,78,29.57,2935.42,3,MOP
5.06,127,40,12,12.43,430.17,1,MOP
4.73,159,84,39,25.52,799.47,1,MOP
4.65,128,49,46,37.73,2542.54,6,Compost
8.02,89,46,31,16.65,2800.79,6,MOP
6.37,128,89,23,34.05,736.71,3,MOP
6.89,116,81,27,18.34,1076.37,4,MOP
4.62,90,76,59,39.58,945.43,6,Compost
7.05,101,60,83,35.52,613.57,4,NPK
7.43,97,89,14,29.59,1565.46,4,MOP
5.3,118,45,27,20.8,670.97,3,MOP
7.25,153,58,49,30.6,1947.61,0,Compost
5.38,60,69,77,34.54,472.73,4,Compost
6.25,78,71,105,26.34,2746.11,3,MOP
6.31,127,87,13,13.06,504.22,5,MOP
7.67,119,89,26,29.73,2117.54,5,MOP
5.41,105,78,51,26.3,1859.38,6,Compost
5.76,133,75,95,34.14,2638.49,2,MOP
5.59,89,71,36,29.33,235.42,6,MOP
5.34,129,54,88,21.73,2607.62,0,Compost
7.27,132,53,105,40,2169.05,5,Compost
5.38,61,81,11,30.38,2721.35,2,MOP
6.97,125,51,103,17.33,1644.41,6,NPK
7.71,129,84,51,13.35,2794.22,5,Compost
6.14,70,53,37,12.06,329.28,1,MOP
5.42,65,87,46,23.81,1867.87,0,Compost
6.12,116,61,70,20.11,1663.53,2,NPK
7.8,125,44,68,25.18,402.74,6,MOP
7.72,141,59,84,28.08,1483.65,4,NPK
5.91,126,49,94,12.93,1638.92,6,NPK
5.48,150,79,74,34.18,2650.6,5,Compost
4.94,94,51,89,25.67,2797.83,5,Compost
4.9,152,69,19,22.78,2694.45,0,MOP
5.89,75,42,59,24.73,905.37,0,NPK
5.05,99,52,98,32.59,596.55,3,Compost
5.85,93,57,13,33.11,2273.89,0,MOP
5.44,89,69,50,24.93,780.81,5,Compost
5.53,88,60,29,38.99,992.43,1,MOP
7.43,128,72,95,17.55,2998.74,0,Compost
7.24,81,52,32,20.19,812.4,1,MOP
5.5,105,87,45,11.32,608.58,3,MOP
7.23,83,55,40,37.19,1445.79,0,NPK
8.3,63,48,13,27.61,2179.81,1,MOP
6.63,125,40,42,29.1,2990.56,0,NPK
4.69,130,78,11,24.52,2046.91,2,MOP
7.15,116,73,25,22.64,2304.93,3,MOP
6.13,117,79,58,34.57,1629.74,4,NPK
5.47,106,48,116,10.63,2707.53,1,Compost
5.19,108,56,22,10.21,2228.18,4,MOP
4.97,151,42,37,33.84,2875.73,1,MOP
5.63,60,46,43,11.03,662.28,6,NPK
8.38,147,88,13,21.7,571.45,6,MOP
5.65,136,49,65,23.65,2434.62,0,Compost
4.98,111,62,32,28.38,2857.58,5,MOP
4.59,67,72,60,33.01,2012.09,6,Compost
4.91,99,63,15,19.18,2607.53,4,MOP
7.76,107,53,74,33.28,2244.75,5,NPK
7.71,73,56,106,37.89,2014.38,0,NPK
5.69,64,50,63,28.02,1293.73,6,NPK
5.44,71,58,18,17.95,421.27,4,MOP
7.42,151,73,10,23.48,526.91,1,MOP
4.88,126,70,98,19.11,1521.53,4,Compost
5.11,131,61,45,24.75,1538.31,4,Compost
4.78,139,55,19,18.9,2631.3,3,MOP
5.66,101,57,40,23.69,1473.44,3,NPK
5.1,120,48,93,17.32,1071.75,6,Compost
5.46,139,51,78,13.09,1830.12,1,Compost
6.58,133,59,107,28.99,2252.61,6,NPK
6.08,78,67,25,29.27,1327.35,1,MOP
5.66,127,71,39,10.88,597.11,1,MOP
4.76,122,77,76,11.72,291.3,6,Compost
8.25,101,74,33,11.18,467.75,5,MOP
5.52,80,82,72,35.61,2100.77,3,MOP
5.01,137,72,78,19.91,2961.54,0,Compost
4.73,153,68,68,32.23,223.79,6,Compost
5.13,110,46,70,27.5,2036.76,1,Compost
5.2,131,43,61,33.99,1239.81,4,Compost
6.02,69,71,45,15.24,2785.63,4,NPK
6.75,103,60,40,28.33,2748.77,3,NPK
5.68,158,68,16,17.49,210.2,6,MOP
7.43,155,61,99,23.01,1485.81,1,NPK
5.27,147,84,29,12.16,1242.14,4,MOP
5,138,64,110,11.25,378.15,5,Compost
5.31,141,58,111,27.05,2427.78,2,Compost
4.89,95,69,51,36.39,427.71,4,Compost
7.21,113,74,116,16.33,393.73,3,NPK
7.94,129,45,12,36.71,2817.36,1,MOP
5.51,144,89,99,24.49,2468.1,1,Compost
6.95,159,54,112,25.2,1125.47,1,NPK
7.67,122,60,107,23.57,1395.54,3,Compost
4.84,130,41,111,24.09,324.77,3,Compost
7.77,138,53,16,35.63,2463.42,3,MOP
4.56,94,55,116,13.63,820.48,0,Compost
5.96,106,63,16,16,2057.36,1,MOP
4.93,61,80,102,34.29,1253.22,3,Compost
4.78,151,75,94,32.27,2683.05,4,Compost
7.47,90,82,29,17.54,748.42,5,MOP
6.09,115,70,96,30.37,1392.43,6,NPK
4.61,123,80,88,37.32,874.02,1,Compost
5.26,138,81,97,27.21,1289.65,1,Compost
5.54,124,83,33,11.65,561.09,6,MOP
5.36,139,59,118,13.36,1398.8,6,Compost
4.66,149,70,95,31.86,338.05,6,Compost
5.3,83,57,90,36.77,1328.9,0,Compost
5.58,123,40,72,26.89,2983.43,6,MOP
4.62,87,68,51,16.55,369.75,1,Compost
6.26,61,79,42,28.4,1218.91,4,Compost
6.36,102,45,64,25.86,2914.58,2,NPK
6.35,149,63,81,39.32,2794.97,4,MOP
7.79,105,85,28,33.27,1044.14,3,MOP
8.37,70,68,14,29.2,855.57,1,MOP
4.63,102,84,64,18.28,1735.88,3,Compost
5.29,133,79,112,35.65,1000.42,5,Compost
5.77,64,75,31,14.11,1216.21,2,MOP
5.13,72,64,40,39.21,2710.43,5,Compost
7.75,90,46,46,35.81,1649.51,5,MOP
5.43,72,81,105,15.37,2161.94,4,Compost
7.55,86,76,52,12.27,1520.92,6,NPK
6.29,133,41,47,37.2,1972.72,4,Compost
7.66,102,45,24,25.08,2759.3,2,MOP
5.18,126,72,42,27.31,290.31,1,Compost
5.18,143,88,54,24.52,1712.77,0,Compost
6.88,100,61,62,32.43,2013.67,2,NPK
7.36,136,54,87,21.43,2938.06,3,Compost
6.3,122,46,40,39.86,1969.34,5,Compost
5.34,129,89,68,38.28,2664.47,6,Compost
4.51,134,47,103,29.9,1050.7,6,Compost
6.54,116,82,60,36.23,1999.98,4,NPK
6.02,155,55,14,12.45,2010.06,2,MOP
8.42,131,51,19,32.11,297.37,5,MOP
5.9,126,82,47,38.12,2170.68,2,MOP
6.31,155,78,44,20.46,2567.73,5,NPK
4.69,129,43,102,15.9,2932.03,0,Compost
6.78,112,78,47,10.86,2299.61,3,Compost
5.41,87,75,101,17.26,1680.5,6,Compost
5.02,94,88,13,28.39,1964.35,5,MOP
4.97,148,67,98,20.72,2082.83,0,Compost
5.73,128,78,101,29.19,1453.81,5,MOP
5.02,136,42,111,35.26,1248.42,2,Compost
4.76,70,88,91,30.47,1385.07,2,Compost
5.49,104,41,77,27.24,1806.17,4,Compost
6.3,112,48,42,27.84,1541.2,5,NPK
4.59,61,87,109,32.76,1207.8,1,Compost
6.16,63,83,106,14.05,2657.47,0,NPK
5.22,123,81,101,36.23,881.35,3,Compost
6.76,126,84,107,22.88,2219.09,1,NPK
4.97,63,43,74,19.68,1725.9,2,Compost
7.64,68,48,63,12,1071.98,4,NPK
7.19,79,58,40,27.17,1713.78,1,NPK
7.28,84,52,90,28.52,2688.67,1,NPK
6.27,133,56,31,10.28,1829.81,0,MOP
5.07,112,78,38,31.73,604.25,0,MOP
8.11,65,75,34,14.07,957.11,0,MOP
7.71,100,61,110,24.86,2233.44,0,Compost
6.25,132,88,10,23.75,1154.84,3,MOP
4.56,108,73,55,24.9,417.26,5,Compost
5.63,107,65,49,20.52,1442.63,2,NPK
5.18,118,46,62,12.57,2673.28,5,Compost
4.84,131,41,92,18.81,413.56,0,Compost
4.51,102,42,17,12.01,2344.41,5,MOP
7.38,135,74,24,11.22,1120.16,1,MOP
6.56,155,73,44,12.01,1879.16,0,NPK
5.43,99,42,102,13.26,1809.09,5,Compost
5.22,77,62,42,37.24,1391.68,2,Compost
5.18,156,61,42,19.39,2878.58,1,Compost
5.62,101,45,54,33.49,1194.27,6,NPK
8.39,149,56,36,16.12,2622.5,5,MOP
5.11,146,52,60,31.3,2390.56,5,Compost
7.43,122,61,37,33.97,2214.93,5,MOP
4.5,112,62,93,35.61,280.89,3,Compost
6.88,65,77,17,25.31,2973.58,2,MOP
5.65,107,57,40,33.17,2914.44,6,NPK
5.78,113,72,35,27.13,380.55,2,MOP
5.51,147,68,69,37.55,2334.35,0,Compost
8.19,144,57,21,26.72,2748.5,2,MOP
6.33,120,45,116,26.76,2361.71,2,NPK
7.88,70,57,22,35.86,873.04,0,MOP
5.13,88,82,17,25.58,2236.2,0,MOP
6.67,124,46,105,36.94,1676.35,5,MOP
5.8,73,70,66,23.76,1090.31,5,NPK
5.05,133,54,66,34.24,1589.58,2,Compost
8.01,75,64,35,27.58,205.01,6,MOP
7.2,127,68,107,18.4,2557.2,5,NPK
5.99,97,77,24,25.63,2216.85,6,MOP
8.16,138,62,27,29.83,2318.71,4,MOP
4.86,70,51,20,39.21,664.11,6,MOP
6.12,68,77,13,20.28,2761.64,0,MOP
7.22,77,77,43,25.29,1922.8,2,NPK
7.59,154,84,57,29.28,2527.69,0,Compost
5.57,90,61,17,14.16,1717.77,4,MOP
4.78,152,86,69,27.58,2872.91,1,Compost
5.58,117,84,88,18.44,2328.88,3,NPK
5.39,117,63,105,17.56,2081.7,3,Compost
6.62,127,63,33,18.95,2369.99,0,MOP
5.89,78,71,64,15.21,851.43,5,NPK
6.58,102,44,11,38.42,1863.28,1,MOP
6.17,147,75,32,24.42,1963.47,5,MOP
6.31,60,53,81,27.61,1642.02,2,NPK
5.43,69,55,63,12.32,1431.07,0,Compost
4.56,104,70,16,26.63,621.39,6,MOP
8.48,97,55,15,39.17,589.12,1,MOP
5.22,134,80,29,24.95,2753.6,0,MOP
6.51,143,44,97,30.3,2789.54,2,Compost
4.58,66,66,109,31.25,2715.02,2,Compost
6.92,70,43,47,13.13,598.5,5,NPK
5.63,106,74,12,19.46,1494.75,4,MOP
7.25,94,56,37,36.34,580.58,4,MOP
4.64,133,88,53,22.33,2835.37,1,Compost
6.14,151,76,24,24.3,1188.25,3,MOP
6.3,105,41,20,23.28,2995.94,4,MOP
6.26,151,61,32,33.08,2536.13,2,MOP
4.86,136,81,66,19.59,387.04,6,Compost
7.37,85,56,90,24.08,639.9,3,Compost
6.15,114,62,46,23.22,794.53,2,NPK
5.99,82,62,102,18.38,2930.03,5,NPK
6.3,133,51,38,37.33,2450.71,5,MOP
5.31,129,56,37,29.58,2392.39,6,MOP
6.15,91,68,97,26.19,954.14,2,NPK
4.64,134,73,27,35.69,2294.09,0,MOP
7.74,87,88,57,17.51,2963.85,5,NPK
5.04,85,52,59,18.43,1178.37,2,Compost
4.74,159,76,84,37.23,963.71,4,Compost
5.07,148,74,14,17.87,2723.03,1,MOP
6.63,112,79,12,28.56,1728.52,5,MOP
4.54,156,77,111,35.89,2969.94,3,Compost
6.84,128,60,57,21.62,1942.78,0,NPK
5.76,150,41,33,39.39,1845.94,3,MOP
8.21,60,53,38,15.17,1806.98,0,MOP
7.81,61,50,35,30.38,2368.21,1,MOP
5.45,80,85,94,11.3,2220.54,2,Compost
5.55,81,82,92,33.09,1994.6,4,MOP
6.51,126,57,111,20.09,2100.78,2,NPK
4.77,77,86,28,13.98,869.31,5,MOP
7.39,64,41,91,37.41,613.52,4,Compost
7.72,99,47,23,28.66,1214.35,3,MOP
5.66,156,87,44,36.26,1317.65,6,NPK
7.16,149,75,91,30.46,2507.63,3,NPK
6.21,146,63,101,39.76,1421.02,3,MOP
6.6,67,73,88,14.83,387.96,2,NPK
7.27,146,61,12,27.65,2027.68,6,MOP
7.51,120,47,21,24.24,2380.75,5,MOP
5.38,96,66,105,25.55,1508.68,6,Compost
5.36,102,56,19,13.4,2512.19,5,MOP
5.64,105,72,85,25.45,1361.2,6,NPK
5.2,95,47,118,23.79,736.3,5,Compost
4.82,126,66,55,17.81,794.69,6,Compost
4.86,85,67,43,13.74,1312.06,3,Compost
6.18,153,88,29,17.42,2909.73,5,MOP
6.52,125,87,88,24.22,1210.52,4,NPK
5.1,78,53,48,28.71,542.47,1,Compost
4.99,120,61,71,22.48,1750.41,1,Compost
6.94,103,86,92,19.33,335.24,5,MOP
5.29,63,56,99,20.09,1715.73,6,Compost
6.59,134,79,109,19.03,2150.12,2,NPK
7.72,151,56,107,31.92,1072.26,1,MOP
5.01,81,82,16,10.33,2499.23,2,MOP
5.18,95,57,70,10.62,1730.29,0,Compost
6.15,136,80,88,25.19,2856.44,0,NPK
5.42,74,68,18,16.04,854.14,3,MOP
7.14,61,74,38,29.89,2844.22,5,MOP
6.39,127,51,60,18.97,970.58,3,Compost
4.73,95,76,60,22.26,1637.81,6,Compost
5.05,78,54,75,20.19,2931.58,5,Compost
6.42,108,63,63,23.34,2697.18,3,NPK
7.25,128,42,70,37.88,411.19,6,MOP
6.16,84,81,61,15.87,2958.47,6,Compost
7.57,74,49,31,21.25,1290.77,1,MOP
4.99,71,68,85,25.32,1602.45,2,Compost
5.31,139,59,74,22.03,1274.48,0,Compost
5.89,81,52,99,33.17,1932.54,6,NPK
7.12,103,67,107,21.08,631.79,3,MOP
6.84,93,45,102,31.61,1813.48,5,NPK
5.93,141,82,62,13.73,2129.75,5,Compost
4.84,118,74,105,35.46,2693.78,5,Compost
8.47,69,69,34,33.81,246.25,2,MOP
5.01,78,63,59,21.23,240.86,5,Compost
5.82,100,72,88,37.27,2658.97,1,MOP
5.87,99,68,24,12.67,1160.17,3,MOP
6.14,81,70,15,10.03,589.59,2,MOP
6.55,120,77,51,27.06,1522.98,6,NPK
6.79,99,40,27,34.87,2534.61,6,MOP
5.47,153,64,29,23.05,1057.67,6,MOP
4.58,118,61,62,39.33,1098.91,1,Compost
5,76,75,35,18.88,2043.53,1,MOP
5.36,101,49,104,17.93,636.21,3,Compost
6.99,65,66,59,33.5,865.26,3,Compost
6.52,86,48,58,13.24,807.25,1,NPK
5.9,138,54,103,18.39,2234.64,3,Compost
4.88,76,85,64,34.71,1973.73,0,Compost
6.27,116,62,36,12.31,1737.94,1,MOP
4.64,113,68,85,38.69,1010.15,5,Compost
7.74,80,71,41,23.44,2165.42,6,NPK
5.59,150,43,39,15.4,2932.25,0,MOP
4.54,68,72,30,18.12,2347.04,3,MOP
5.06,76,59,65,39.25,1713.96,6,Compost
6.81,95,69,102,13.37,861.2,1,NPK
7.52,86,89,104,14.79,2072.45,1,Compost
6.93,60,65,10,22.04,2276.84,2,MOP
7.01,138,76,109,25.99,1372.71,1,NPK
4.84,135,79,42,26.52,920.49,2,Compost
6.78,69,53,21,23.85,1101.89,0,MOP
6.61,90,45,42,18.78,966.77,2,Compost
5.13,126,72,119,19.43,885.12,0,Compost
5.16,116,47,45,31.47,1493.65,1,Compost
6.07,84,63,73,11.78,1156.1,5,NPK
5.41,122,68,59,22.88,2599.2,3,Compost
7.17,66,86,13,25.74,983.9,0,MOP
6.06,71,88,15,25.73,2717.15,6,MOP
6.35,99,56,72,31.37,871.21,6,Compost
6.06,67,56,52,22.03,375.3,3,NPK
6.76,122,55,62,39.2,2124.81,2,MOP
6.94,121,48,18,21,912.3,2,MOP
6.87,87,79,39,33.09,2693.75,4,MOP
7.45,158,72,99,19.7,1476.16,4,MOP
6.79,74,84,112,28.06,1749.6,1,MOP
4.77,68,62,48,29.18,2096.1,6,Compost
4.97,76,85,61,32.78,1583.5,0,Compost
4.82,74,54,67,21.55,278.92,3,Compost
6.22,75,70,74,16.21,2114.06,0,NPK
6.72,93,64,85,32.44,982.81,3,MOP
5.83,107,57,67,20.19,2670.9,5,Compost
7.09,83,72,37,29.54,728.11,4,MOP
6.71,103,66,114,11.88,2988.32,1,MOP
5.68,153,81,29,18.35,2648.49,0,MOP
8.41,86,51,21,38.74,1907.13,0,MOP
4.93,157,41,14,10.13,384.66,2,MOP
6.6,94,64,19,35.61,2199.52,3,MOP
4.84,133,74,99,30,2439.16,3,Compost
5.51,140,51,104,29.94,2161.38,6,Compost
4.8,99,53,66,27.05,748.05,0,Compost
7.14,95,72,20,35.61,1733.63,0,MOP
7.38,96,76,98,38.05,523.47,1,MOP
5.08,60,88,84,22.72,2589.8,0,Compost
8.4,108,57,16,32.9,1953.6,3,MOP
6.09,140,42,24,26.52,1487.74,0,MOP
6.79,73,79,76,18.61,278.99,1,NPK
6.57,103,62,50,28.45,2526.06,2,NPK
7.78,69,54,26,39.2,828.82,2,MOP
4.66,87,66,53,23.47,2145.89,5,Compost
5.76,118,79,80,10.68,1806.69,6,Compost
6.8,103,49,84,19.32,2691.91,2,NPK
5.3,132,87,105,35.36,1235.43,5,Compost
6.36,106,57,50,12.33,958.42,2,Compost
5.51,142,64,106,19.11,564.43,2,Compost
5.03,101,57,58,19.74,1364.76,4,Compost
7.55,123,61,78,15.08,606.54,4,MOP
7.39,146,60,116,32.17,1031.42,5,NPK
5.32,135,56,47,21.38,301.25,3,Compost
5.85,64,77,86,27.43,2357.57,1,Compost
6.38,96,89,28,29.84,1355.81,1,MOP
5.82,137,73,15,11.06,336.29,0,MOP
7.52,72,52,54,29.32,237.68,4,Compost
6.1,151,48,63,13.73,1136.44,6,NPK
6.23,102,73,38,29.07,1062.4,0,MOP
4.78,88,56,116,14.63,1293.6,6,Compost
5.66,136,62,105,18.26,1412.59,5,Compost
5.8,120,79,77,30.57,557.25,4,NPK
7.36,98,79,53,23.83,1930.72,6,MOP
5.04,71,66,34,25.04,529.58,2,MOP
5.39,155,57,17,31.79,339.94,5,MOP
6.61,145,61,119,27.72,2297.63,6,NPK
5.8,112,66,76,21.86,1729.72,2,NPK
6.91,132,56,20,27.28,2306.39,1,MOP
8.44,64,80,36,25.73,1937.54,6,MOP
7.34,137,65,100,26.63,477.55,2,MOP
5.48,92,73,60,10.26,1780.15,6,Compost
7.48,85,78,118,12.24,2383.78,4,NPK
5.57,79,53,40,15.34,1713.99,5,NPK
7.61,147,58,23,32.74,867.33,5,MOP
6.97,65,60,31,26.31,1119.14,2,MOP
7.44,74,62,28,38.87,1771.69,2,MOP
5.92,146,70,30,17.89,832.08,4,MOP
6.13,84,74,51,18.43,2165.49,1,NPK
6.14,87,80,29,17.63,247.39,3,MOP
6.49,73,70,88,23.01,2237.85,1,MOP
5,124,56,59,38.72,1513.41,1,Compost
5.97,150,42,86,19,563.08,2,Compost
8.34,79,50,36,30.97,1077.37,0,MOP
7.78,111,82,11,39,323.54,1,MOP
7.92,77,88,10,27.06,1939,4,MOP
5.19,130,78,17,15.71,234.82,0,MOP
4.63,144,51,50,23.35,1805,2,Compost
5.43,99,52,42,28.38,2978.61,4,Compost
6.75,107,72,78,26.55,2662.26,5,MOP
4.52,72,68,101,12.9,495.94,5,Compost
7.2,147,52,32,17.4,1560.57,4,MOP
7.74,111,50,82,27.04,2142.65,0,NPK
4.87,84,76,86,26.17,1351.47,0,Compost
8.34,109,65,10,27.99,1079.19,3,MOP
6.27,128,85,14,32.56,1603.05,3,MOP
4.76,135,47,60,24.37,2548.34,2,Compost
5.01,71,66,10,32.19,1635.61,4,MOP
6.86,88,79,111,27.1,1652.48,2,NPK
8.1,90,46,23,28.8,1478.61,2,MOP
8.21,100,64,30,27.47,2045.26,3,MOP
6.04,137,80,50,29.61,346,1,Compost
6.4,93,57,16,29.02,2843.24,4,MOP
6.32,147,58,115,13.18,718.66,6,NPK
4.9,155,62,65,24.41,1314.2,5,Compost
7.28,90,62,114,11.07,1981.54,3,MOP
7.29,127,66,97,32.46,2774.56,6,MOP
6.3,68,80,73,21.65,784.01,5,Compost
7.03,134,79,108,19.79,972.42,3,NPK
5.49,70,43,63,31.67,2633.56,3,Compost
6.53,107,68,69,29.2,1836.14,1,MOP
7.03,60,72,37,14.04,357.02,3,MOP
4.68,93,72,37,23.86,2577.06,2,MOP
5.74,76,47,81,19.15,1178.68,3,NPK
6.02,66,81,29,10.27,1948.63,1,MOP
4.82,159,67,48,32.09,1639.16,0,Compost
6.17,147,43,93,38.21,345.65,3,NPK
8.27,85,52,27,22.5,2437.42,5,MOP
5.39,97,68,42,19.51,483.82,1,Compost
6.7,86,45,80,35.02,1444.85,4,MOP
8.11,71,66,13,18.53,2137.34,4,MOP
6.52,69,58,119,25.96,817.31,2,Compost
5.06,140,84,73,21.67,627.53,1,Compost
4.9,139,49,26,23.82,446.55,4,MOP
7.72,139,66,33,38.18,2597.35,4,MOP
7.4,65,65,39,31.31,2937.38,2,MOP
5.34,109,61,74,34.63,2529.77,2,Compost
6.96,129,60,37,11.06,2685.66,4,MOP
6.21,134,88,22,32.17,477.12,1,MOP
5.23,140,79,66,10.7,2130.8,1,Compost
7.52,65,50,19,35.17,2932.59,2,MOP
5.33,101,49,74,34.89,339.16,4,Compost
7.37,133,49,94,19.74,204.35,2,MOP
5.35,99,55,118,36.17,1921.87,4,Compost
7.2,99,66,113,12.78,926.01,1,Compost
4.73,102,64,100,30.01,1932.08,5,Compost
7.51,149,41,85,11.05,1789.31,4,NPK
4.81,101,55,26,33.55,293.49,6,MOP
6.58,83,61,24,37.99,2151,1,MOP
5.28,145,80,109,24.2,2493.85,3,Compost
7.67,139,41,38,14.6,2932.21,0,MOP
7.62,74,68,82,22.35,1851.43,3,NPK
4.7,80,78,65,23.32,2352.32,2,Compost
4.8,73,53,12,32.72,2278.29,5,MOP
5.69,134,79,81,29.3,1608.43,2,NPK
4.55,159,54,34,11.76,2472.6,3,MOP
6.64,94,71,60,19.87,679.34,2,NPK
8.15,78,76,14,25.6,1546.02,3,MOP
6.7,89,46,68,25.96,2299.26,0,MOP
5.17,61,76,19,30.91,830.39,2,MOP
5.43,149,83,68,10.01,1579.21,6,Compost
5.3,95,40,112,38.89,2937.16,5,Compost
6.53,71,64,55,32.52,891.89,3,MOP
7.18,105,66,21,20.94,829.67,2,MOP
5.56,100,45,113,26.06,1554.23,6,NPK
6.83,80,49,96,36.17,797.39,5,NPK
8.3,67,63,21,34.65,1511.06,1,MOP
7.81,130,51,28,17.13,2548.89,0,MOP
7.3,69,83,81,18.94,1056.63,5,Compost
5.69,65,45,40,36.18,1322.96,6,NPK
5.42,118,61,93,15.72,1472.75,3,Compost
4.5,71,41,101,14.42,282.92,0,Compost
7.36,87,65,75,22.63,1085.77,6,MOP
6.02,139,88,30,10.73,1860.08,4,MOP
7,104,79,45,19.65,234.01,5,MOP
7.23,109,75,85,32.63,1008.61,2,NPK
4.58,91,80,21,12.19,315.86,4,MOP
7.75,152,58,15,39.9,1495.88,6,MOP
5.94,134,69,97,23.3,2022.87,1,NPK
5.33,102,48,30,34.6,2289.49,0,MOP
7.76,133,55,33,24.48,2289.14,6,MOP
5.62,103,75,117,14.51,2195.01,3,Compost
4.92,127,78,93,34.17,2909.13,1,Compost
7.72,136,73,47,39.66,1373.74,4,NPK
5.25,98,61,43,26.04,815.41,1,Compost
5.89,66,46,26,11.36,1329.22,6,MOP
6.21,104,47,29,25.75,2813.04,6,MOP
7.44,93,68,95,30.04,1297.33,1,NPK
8.22,87,53,15,29.57,1533.56,3,MOP
6.35,117,87,19,36.01,208.93,0,MOP
4.85,60,50,40,32.55,861.2,0,Compost
6.94,73,71,27,13.28,712.98,3,MOP
5.14,68,89,50,18.79,2066.56,1,Compost
4.8,91,87,33,39.6,1834.18,0,MOP
7.29,125,75,119,29.66,1368.61,2,MOP
6.38,107,63,112,34.17,1288.06,4,Compost
6.08,123,79,98,25.71,501.88,2,NPK
6.34,127,88,36,13.44,2428.9,5,MOP
6.17,69,53,14,31.57,1738.9,6,MOP
7.04,101,84,16,19.67,2258,0,MOP
5.25,73,55,107,27.13,1958.49,6,Compost
4.93,152,47,72,21.06,1784.84,4,Compost
5.08,132,52,45,36.07,255.04,4,Compost
6.38,73,49,30,18.38,2807.03,2,MOP
4.96,68,64,62,11.26,988.9,6,Compost
4.93,126,88,12,28.54,228.08,4,MOP
